group,officer_handled,citizen_handled,race_based,greivance,arrest_person,officer_disciplined,offcier_charged,citizen_charged,gender,handled_officer,handled_citizen,officer_power,citizen_power,you_better,force_justified,last_resort?,comfortable,negative_interaction,positive_interaction
t,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1
t,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1
t,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
t,0,,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1
t,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1
t,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1
t,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
t,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1
t,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1
t,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
t,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1
t,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1
t,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0
t,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1
t,0,0,0,1,,1,0,1,0,1,1,1,1,1,1,0,1,1,1
t,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1
t,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1
t,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
t,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1
t,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1
t,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1
t,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1
t,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1
t,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
t,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
t,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1
t,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1
t,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
t,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1
t,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1
t,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
t,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1
t,0,0,0,0,1,1,0,0,0,1,1,1,1,,0,1,0,1,1
t,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
t,0,0,0,,0,0,0,0,0,1,1,1,1,,1,0,1,0,1
t,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1
t,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1
t,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1
t,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
t,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
t,0,1,1,1,0,1,0,0,,1,1,1,1,1,0,,0,1,1
t,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,,0,1
t,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1
t,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1
t,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1
t,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1
t,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
t,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1
t,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1
t,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
t,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
t,0,0,,1,1,1,0,0,,1,1,1,1,1,1,1,,1,1
t,0,1,,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1
t,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1
t,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1
t,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1
t,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1
t,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1
t,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
t,0,1,0,0,,1,0,0,0,1,1,1,0,0,1,1,1,0,1
t,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1
t,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1
t,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1
t,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
t,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1
t,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
t,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1
t,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1
t,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
t,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1
t,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1
t,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
t,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,,1,1
t,0,0,,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
t,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1
t,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
t,0,0,1,1,0,,0,0,1,1,1,1,1,1,1,1,0,0,1
t,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1
t,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
t,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
t,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
t,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0
t,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1
t,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1
t,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0
